Country,Category,Time (minutes)
Australia,Paid work,211
Austria,Paid work,280
Belgium,Paid work,194
Canada,Paid work,269
Denmark,Paid work,200
Estonia,Paid work,231
Finland,Paid work,200
France,Paid work,170
Germany,Paid work,224
Greece,Paid work,187
Hungary,Paid work,199
Ireland,Paid work,231
Italy ,Paid work,149
Japan,Paid work,326
Korea,Paid work,288
Latvia,Paid work,317
Lithuania,Paid work,304
Luxembourg,Paid work,247
Mexico,Paid work,302
Netherlands,Paid work,218
New Zealand,Paid work,241
Norway ,Paid work,201
Poland,Paid work,229
Portugal,Paid work,259
Slovenia,Paid work,227
Spain,Paid work,176
Sweden,Paid work,262
Turkey,Paid work,217
UK,Paid work,235
USA,Paid work,251
China,Paid work,315
India,Paid work,272
South Africa,Paid work,189
Australia,Education,27
Austria,Education,27
Belgium,Education,41
Canada,Education,36
Denmark,Education,25
Estonia,Education,25
Finland,Education,29
France,Education,34
Germany,Education,24
Greece,Education,40
Hungary,Education,38
Ireland,Education,37
Italy ,Education,28
Japan,Education,37
Korea,Education,57
Latvia,Education,13
Lithuania,Education,12
Luxembourg,Education,37
Mexico,Education,45
Netherlands,Education,25
New Zealand,Education,29
Norway ,Education,40
Poland,Education,30
Portugal,Education,36
Slovenia,Education,38
Spain,Education,26
Sweden,Education,31
Turkey,Education,29
UK,Education,27
USA,Education,31
China,Education,25
India,Education,23
South Africa,Education,39
Australia,Care for household members ,45
Austria,Care for household members ,34
Belgium,Care for household members ,22
Canada,Care for household members ,29
Denmark,Care for household members ,28
Estonia,Care for household members ,28
Finland,Care for household members ,23
France,Care for household members ,22
Germany,Care for household members ,19
Greece,Care for household members ,19
Hungary,Care for household members ,33
Ireland,Care for household members ,61
Italy ,Care for household members ,27
Japan,Care for household members ,0
Korea,Care for household members ,28
Latvia,Care for household members ,15
Lithuania,Care for household members ,19
Luxembourg,Care for household members ,20
Mexico,Care for household members ,38
Netherlands,Care for household members ,22
New Zealand,Care for household members ,30
Norway ,Care for household members ,23
Poland,Care for household members ,38
Portugal,Care for household members ,17
Slovenia,Care for household members ,21
Spain,Care for household members ,35
Sweden,Care for household members ,33
Turkey,Care for household members ,29
UK,Care for household members ,32
USA,Care for household members ,31
China,Care for household members ,23
India,Care for household members ,21
South Africa,Care for household members ,18
Australia,Housework,132
Austria,Housework,125
Belgium,Housework,121
Canada,Housework,115
Denmark,Housework,128
Estonia,Housework,121
Finland,Housework,109
France,Housework,129
Germany,Housework,109
Greece,Housework,125
Hungary,Housework,150
Ireland,Housework,91
Italy ,Housework,135
Japan,Housework,80
Korea,Housework,76
Latvia,Housework,130
Lithuania,Housework,154
Luxembourg,Housework,108
Mexico,Housework,187
Netherlands,Housework,105
New Zealand,Housework,110
Norway ,Housework,83
Poland,Housework,135
Portugal,Housework,161
Slovenia,Housework,166
Spain,Housework,116
Sweden,Housework,107
Turkey,Housework,124
UK,Housework,104
USA,Housework,100
China,Housework,103
India,Housework,148
South Africa,Housework,130
Australia,Shopping,29
Austria,Shopping,21
Belgium,Shopping,29
Canada,Shopping,24
Denmark,Shopping,26
