Country,Very+Fairly,A little connected,Not at all connected
Afghanistan,62%,32%,5%
Albania,85%,11%,4%
Algeria,71%,23%,5%
Argentina,75%,20%,4%
Armenia,73%,22%,4%
Australia,83%,14%,3%
Austria,89%,8%,4%
Azerbaijan,57%,30%,10%
Bangladesh,86%,11%,2%
Belgium,78%,18%,4%
Benin,49%,43%,8%
Bolivia,55%,32%,11%
Bosnia and Herzegovina,87%,11%,1%
Botswana,77%,17%,6%
Brazil,55%,38%,5%
Bulgaria,83%,13%,2%
Cambodia,66%,28%,5%
Cameroon,58%,34%,8%
Canada,79%,16%,5%
Chad,66%,22%,10%
Chile,78%,16%,6%
Colombia,66%,27%,6%
Comoros,64%,23%,13%
Democratic Republic of Congo,62%,29%,8%
The Republic of the Congo,50%,30%,18%
Costa Rica,73%,20%,6%
Croatia,75%,17%,6%
Cyprus,86%,12%,3%
Czech Republic,85%,12%,3%
Denmark,86%,11%,3%
Dominican Republic,47%,36%,12%
Ecuador,59%,30%,9%
Egypt,88%,10%,2%
El Salvador,62%,27%,10%
Estonia,79%,18%,2%
Eswatini,74%,21%,5%
Ethiopia,84%,11%,4%
Finland,81%,18%,2%
France,81%,13%,6%
Gabon,56%,36%,7%
Georgia,72%,23%,5%
Germany,84%,12%,3%
Ghana,78%,19%,3%
Greece,87%,11%,1%
Guatemala,57%,29%,14%
Guinea,69%,21%,7%
Honduras,62%,25%,11%
Hong Kong (S.A.R. of China),53%,39%,7%
Hungary,86%,11%,4%
Iceland,89%,10%,1%
India,65%,25%,9%
Indonesia,77%,10%,11%
Iran,76%,16%,8%
Iraq,73%,16%,12%
Ireland,82%,14%,4%
Israel,89%,9%,2%
Italy,80%,12%,7%
Côte d'Ivoire,63%,30%,6%
Jamaica,63%,24%,11%
Japan,89%,8%,2%
Jordan,66%,23%,12%
Kazakhstan,71%,20%,7%
Kenya,76%,17%,7%
Kosovo,93%,6%,1%
Kuwait,69%,22%,9%
Kyrgyzstan,80%,14%,4%
Lao People's Democratic Republic,56%,28%,11%
Latvia,69%,23%,7%
Lebanon,77%,19%,4%
Lesotho,75%,20%,4%
Liberia,69%,22%,9%
Libya,65%,23%,11%
Lithuania,68%,18%,4%
Luxembourg,76%,18%,6%
Madagascar,50%,38%,11%
Malawi,51%,38%,12%
Malaysia,64%,22%,12%
Mali,68%,26%,7%
Malta,72%,24%,3%
Mauritania,69%,20%,10%
Mauritius,79%,17%,4%
Mexico,70%,21%,8%
Republic of Moldova,63%,26%,8%
Mongolia,95%,4%,1%
Montenegro,85%,12%,2%
Morocco,49%,42%,8%
Mozambique,56%,31%,12%
Myanmar,70%,22%,8%
Namibia,67%,23%,10%
Nepal,84%,12%,3%
Netherlands,88%,9%,2%
New Zealand,79%,16%,5%
Nicaragua,52%,30%,15%
Niger,82%,11%,6%
Nigeria,85%,13%,2%
North Macedonia,81%,18%,2%
Northern Cyprus,48%,40%,11%
Norway,85%,13%,3%
Pakistan,68%,26%,6%
Palestinian Territories,70%,18%,11%
Panama,59%,28%,12%
Paraguay,63%,25%,10%
Peru,61%,28%,10%
Philippines,80%,14%,6%
Poland,75%,21%,3%
Portugal,83%,13%,2%
Puerto Rico,75%,20%,5%
Romania,80%,16%,3%
Russian Federation,68%,23%,4%
Saudi Arabia,65%,23%,11%
Senegal,84%,13%,3%
Serbia,84%,13%,2%
Sierra Leone,69%,24%,5%
Singapore,73%,21%,6%
Slovakia,75%,21%,3%
Slovenia,91%,8%,1%
South Africa,81%,14%,4%
South Korea,72%,24%,3%
Spain,72%,24%,4%
Sri Lanka,81%,14%,4%
Sweden,90%,8%,2%
Switzerland,83%,12%,4%
"Taiwan, Province of China",92%,6%,2%
Tajikistan,83%,13%,2%
Tanzania,83%,12%,4%
Thailand,64%,28%,6%
The Gambia,83%,13%,3%
Togo,61%,28%,10%
Tunisia,60%,29%,10%
Türkiye,54%,37%,8%
Uganda,79%,16%,5%
Ukraine,80%,16%,2%
United Arab Emirates,61%,20%,19%
United Kingdom of Great Britain and Northern Ireland,85%,11%,3%
United States of America,78%,18%,5%
Uruguay,79%,16%,5%
Uzbekistan,82%,14%,2%
Venezuela,68%,26%,6%
Vietnam,86%,12%,2%
Yemen,69%,23%,8%
Zambia,76%,18%,6%
Zimbabwe,79%,18%,3%
