Country,Very+Fairly,A little connected,Not at all connected
Afghanistan,50%,41%,7%
Albania,87%,10%,3%
Algeria,75%,21%,4%
Argentina,77%,19%,4%
Armenia,73%,21%,5%
Australia,89%,10%,1%
Austria,89%,7%,3%
Azerbaijan,57%,26%,12%
Bangladesh,84%,13%,2%
Belgium,79%,17%,4%
Benin,47%,45%,8%
Bolivia,52%,31%,14%
Bosnia and Herzegovina,84%,14%,1%
Botswana,76%,18%,7%
Brazil,52%,40%,7%
Bulgaria,83%,13%,3%
Cambodia,67%,25%,7%
Cameroon,60%,33%,7%
Canada,81%,15%,4%
Chad,65%,21%,13%
Chile,75%,18%,6%
Colombia,63%,29%,7%
Comoros,60%,25%,14%
Democratic Republic of Congo,62%,30%,7%
The Republic of the Congo,42%,33%,21%
Costa Rica,72%,21%,6%
Croatia,78%,15%,6%
Cyprus,83%,14%,3%
Czech Republic,87%,11%,2%
Denmark,87%,11%,2%
Dominican Republic,48%,36%,11%
Ecuador,53%,34%,11%
Egypt,88%,9%,3%
El Salvador,57%,30%,11%
Estonia,83%,15%,2%
Eswatini,74%,22%,4%
Ethiopia,84%,12%,4%
Finland,85%,14%,1%
France,82%,13%,5%
Gabon,50%,43%,7%
Georgia,71%,23%,5%
Germany,84%,13%,2%
Ghana,78%,19%,4%
Greece,90%,9%,1%
Guatemala,50%,32%,16%
Guinea,66%,21%,8%
Honduras,60%,26%,12%
Hong Kong (S.A.R. of China),57%,37%,6%
Hungary,87%,10%,3%
Iceland,90%,8%,2%
India,64%,25%,11%
Indonesia,79%,10%,9%
Iran,77%,14%,9%
Iraq,76%,13%,11%
Ireland,83%,13%,4%
Israel,90%,8%,2%
Italy,82%,9%,7%
Côte d'Ivoire,58%,35%,7%
Jamaica,64%,26%,9%
Japan,90%,7%,2%
Jordan,70%,20%,9%
Kazakhstan,71%,21%,7%
Kenya,75%,18%,7%
Kosovo,94%,6%,0%
Kuwait,67%,21%,12%
Kyrgyzstan,76%,16%,6%
Lao People's Democratic Republic,54%,30%,9%
Latvia,69%,23%,7%
Lebanon,80%,17%,4%
Lesotho,72%,21%,6%
Liberia,73%,18%,9%
Libya,69%,22%,9%
Lithuania,70%,17%,4%
Luxembourg,74%,18%,7%
Madagascar,51%,35%,12%
Malawi,50%,36%,14%
Malaysia,62%,22%,13%
Mali,66%,27%,7%
Malta,74%,24%,2%
Mauritania,70%,18%,11%
Mauritius,77%,19%,3%
Mexico,70%,23%,6%
Republic of Moldova,58%,28%,10%
Mongolia,94%,5%,1%
Montenegro,85%,13%,2%
Morocco,48%,42%,10%
Mozambique,58%,30%,11%
Myanmar,70%,25%,5%
Namibia,65%,24%,10%
Nepal,83%,10%,4%
Netherlands,92%,7%,1%
New Zealand,84%,13%,3%
Nicaragua,49%,31%,17%
Niger,81%,10%,7%
Nigeria,86%,13%,1%
North Macedonia,81%,17%,2%
Northern Cyprus,47%,40%,12%
Norway,89%,9%,2%
Pakistan,66%,25%,9%
Palestinian Territories,73%,16%,12%
Panama,59%,26%,14%
Paraguay,61%,28%,10%
Peru,57%,31%,11%
Philippines,81%,14%,5%
Poland,77%,20%,3%
Portugal,84%,12%,3%
Puerto Rico,77%,19%,3%
Romania,75%,19%,4%
Russian Federation,70%,21%,4%
Saudi Arabia,65%,24%,11%
Senegal,83%,14%,3%
Serbia,85%,12%,2%
Sierra Leone,64%,26%,7%
Singapore,73%,22%,5%
Slovakia,77%,19%,3%
Slovenia,92%,7%,1%
South Africa,78%,16%,5%
South Korea,75%,22%,3%
Spain,74%,23%,2%
Sri Lanka,77%,17%,5%
Sweden,93%,7%,0%
Switzerland,86%,10%,4%
"Taiwan, Province of China",92%,5%,2%
Tajikistan,81%,15%,2%
Tanzania,82%,12%,5%
Thailand,58%,32%,7%
The Gambia,81%,13%,5%
Togo,59%,29%,11%
Tunisia,66%,27%,6%
Türkiye,53%,41%,6%
Uganda,79%,16%,6%
Ukraine,80%,15%,3%
United Arab Emirates,66%,16%,18%
United Kingdom of Great Britain and Northern Ireland,84%,12%,4%
United States of America,78%,17%,4%
Uruguay,79%,16%,5%
Uzbekistan,81%,15%,3%
Venezuela,67%,27%,5%
Vietnam,85%,13%,2%
Yemen,72%,19%,8%
Zambia,76%,18%,6%
Zimbabwe,78%,18%,3%
