Country,Very+Fairly,A little Lonely,Not at all lonely
Afghanistan,55%,34%,10%
Albania,28%,24%,47%
Algeria,35%,26%,39%
Argentina,28%,26%,45%
Armenia,13%,32%,55%
Australia,7%,31%,62%
Austria,13%,23%,63%
Azerbaijan,22%,30%,46%
Bangladesh,40%,20%,38%
Belgium,13%,21%,66%
Benin,32%,38%,29%
Bolivia,29%,41%,27%
Bosnia and Herzegovina,16%,26%,58%
Botswana,48%,26%,26%
Brazil,14%,43%,43%
Bulgaria,27%,20%,50%
Cambodia,30%,39%,31%
Cameroon,21%,42%,37%
Canada,16%,30%,54%
Chad,44%,17%,37%
Chile,28%,27%,45%
Colombia,25%,30%,44%
Comoros,38%,24%,34%
Democratic Republic of Congo,21%,34%,45%
The Republic of the Congo,24%,34%,34%
Costa Rica,22%,27%,51%
Côte d'Ivoire,23%,36%,41%
Croatia,17%,30%,53%
Cyprus,26%,29%,46%
Czech Republic,11%,30%,59%
Denmark,8%,30%,62%
Dominican Republic,18%,35%,44%
Ecuador,26%,31%,41%
Egypt,24%,19%,56%
El Salvador,21%,27%,51%
Estonia,9%,27%,64%
Eswatini,35%,33%,32%
Ethiopia,36%,17%,47%
Finland,7%,28%,64%
France,20%,26%,54%
Gabon,20%,40%,40%
Georgia,10%,25%,65%
Germany,5%,20%,74%
Ghana,38%,29%,32%
Greece,12%,24%,64%
Guatemala,22%,31%,48%
Guinea,31%,25%,35%
Honduras,19%,32%,47%
Hong Kong (S.A.R. of China),6%,33%,60%
Hungary,19%,18%,63%
Iceland,11%,21%,68%
India,28%,27%,44%
Indonesia,9%,19%,72%
Iran,32%,19%,48%
Iraq,40%,19%,41%
Ireland,12%,23%,65%
Israel,14%,24%,61%
Italy,17%,26%,56%
Jamaica,17%,21%,60%
Japan,16%,38%,46%
Jordan,29%,22%,48%
Kazakhstan,10%,19%,70%
Kenya,48%,25%,27%
Kosovo,23%,26%,51%
Kuwait,20%,25%,54%
Kyrgyzstan,9%,23%,67%
Lao People's Democratic Republic,21%,42%,36%
Latvia,7%,22%,70%
Lebanon,26%,26%,47%
Lesotho,55%,14%,29%
Liberia,50%,17%,32%
Libya,24%,18%,58%
Lithuania,14%,32%,48%
Luxembourg,13%,28%,59%
Madagascar,45%,21%,32%
Malawi,41%,35%,24%
Malaysia,13%,30%,56%
Mali,20%,25%,55%
Malta,13%,29%,57%
Mauritania,40%,23%,35%
Mauritius,14%,31%,54%
Mexico,17%,26%,57%
Republic of Moldova,20%,38%,42%
Mongolia,9%,40%,51%
Montenegro,31%,25%,44%
Morocco,23%,38%,38%
Mozambique,23%,39%,34%
Myanmar,16%,39%,45%
Namibia,47%,30%,22%
Nepal,46%,22%,31%
Netherlands,8%,20%,72%
New Zealand,12%,25%,63%
Nicaragua,20%,36%,43%
Niger,46%,16%,35%
Nigeria,27%,25%,48%
North Macedonia,23%,32%,44%
Northern Cyprus,17%,39%,43%
Norway,8%,25%,67%
Pakistan,38%,32%,30%
Palestinian Territories,26%,20%,53%
Panama,20%,27%,52%
Paraguay,23%,28%,49%
Peru,24%,36%,40%
Philippines,56%,22%,20%
Poland,12%,22%,64%
Portugal,20%,27%,53%
Puerto Rico,21%,18%,61%
Romania,22%,30%,47%
Russian Federation,8%,31%,59%
Saudi Arabia,20%,17%,63%
Senegal,40%,23%,36%
Serbia,27%,25%,47%
Sierra Leone,41%,23%,32%
Singapore,15%,33%,53%
Slovakia,9%,30%,60%
Slovenia,4%,20%,76%
South Africa,39%,26%,33%
South Korea,17%,39%,43%
Spain,12%,27%,61%
Sri Lanka,29%,21%,50%
Sweden,8%,24%,68%
Switzerland,11%,18%,70%
"Taiwan, Province of China",17%,31%,51%
Tajikistan,28%,12%,59%
Tanzania,35%,17%,46%
Thailand,10%,28%,61%
The Gambia,50%,26%,23%
Togo,24%,41%,35%
Tunisia,23%,30%,47%
Türkiye,16%,48%,36%
Uganda,53%,23%,23%
Ukraine,6%,31%,63%
United Arab Emirates,24%,21%,55%
United Kingdom of Great Britain and Northern Ireland,14%,22%,63%
United States of America,18%,27%,54%
Uruguay,26%,24%,49%
Uzbekistan,9%,22%,69%
Venezuela,21%,28%,51%
Vietnam,5%,9%,86%
Yemen,18%,24%,56%
Zambia,32%,35%,33%
Zimbabwe,44%,34%,22%
