measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Number,1990,558842.5292884856,733586.0677996095,413687.2940736701
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Number,1990,906864.5240910419,1172066.0307463908,671673.1964126994
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Number,1990,1465707.0533795275,1900760.4184824396,1094864.468785552
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Percent,1990,0.04223844017150059,0.055413966160961066,0.031353072461059846
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Percent,1990,0.061365794937424424,0.07937784348104486,0.045465960778785626
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Percent,1990,0.05233043202218393,0.06787075789130488,0.039108555656630975
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Rate,1990,4171.765063285733,5476.2273237435675,3088.1797824854743
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Rate,1990,6114.6082909787765,7902.751159396974,4528.811510991465
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Rate,1990,5192.581557325011,6733.85140035183,3878.7921742464273
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Number,1991,581361.714102785,764654.5863836934,431354.1518972356
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Number,1991,938665.0858375917,1220854.6924552564,697974.792847675
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Number,1991,1520026.7999403765,1983529.5856339838,1137979.3661634203
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Percent,1991,0.042515465223391266,0.05595843691344349,0.031615290357707354
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Percent,1991,0.06163030005530943,0.08011180837185806,0.04584101723505266
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Percent,1991,0.05258750556502133,0.06852741895381977,0.03944246779975866
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Rate,1991,4198.526576956016,5522.246348949704,3115.1894369512456
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Rate,1991,6140.701924194469,7986.772782149649,4566.117583519593
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Rate,1991,5217.585844034124,6808.587774658116,3906.184438281015
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Number,1992,609999.0983206216,801318.1116004144,451025.290610277
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Number,1992,976599.2003221795,1272590.2356440416,731133.2873243989
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Number,1992,1586598.2986428011,2083612.8944550473,1187005.9861523767
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Percent,1992,0.04282360282737456,0.0563087221711953,0.03163817986917119
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Percent,1992,0.06191828780997698,0.08066012606715608,0.04638424745508043
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Percent,1992,0.05285689650247796,0.06946152165791403,0.03956352875119979
Prevalence,World Bank Low Income,Male,20-24 years,Depressive disorders,Rate,1992,4227.935184476146,5553.977124426257,3126.0795311167503
Prevalence,World Bank Low Income,Female,20-24 years,Depressive disorders,Rate,1992,6169.18674513376,8038.965023862277,4618.576160619161
Prevalence,World Bank Low Income,Both,20-24 years,Depressive disorders,Rate,1992,5243.5490345745875,6886.132671699433,3922.936321088808
