Country,Very+Fairly,A little Lonely,Not at all lonely
Afghanistan,44%,40%,16%
Albania,23%,21%,55%
Algeria,34%,29%,35%
Argentina,27%,28%,45%
Armenia,10%,26%,64%
Australia,13%,29%,57%
Austria,15%,21%,64%
Azerbaijan,14%,27%,57%
Bangladesh,37%,19%,42%
Belgium,13%,20%,66%
Benin,30%,41%,27%
Bolivia,31%,37%,30%
Bosnia and Herzegovina,13%,23%,63%
Botswana,53%,24%,23%
Brazil,16%,33%,51%
Bulgaria,21%,19%,59%
Cambodia,25%,42%,33%
Cameroon,24%,36%,40%
Canada,13%,23%,63%
Chad,35%,23%,38%
Chile,32%,28%,40%
Colombia,23%,32%,44%
Comoros,43%,23%,34%
Democratic Republic of Congo,20%,35%,43%
The Republic of the Congo,27%,35%,36%
Costa Rica,23%,24%,52%
Côte d'Ivoire,25%,30%,44%
Croatia,19%,23%,57%
Cyprus,17%,20%,63%
Czech Republic,12%,29%,59%
Denmark,7%,17%,76%
Dominican Republic,15%,32%,49%
Ecuador,20%,26%,53%
Egypt,20%,19%,61%
El Salvador,22%,20%,57%
Estonia,11%,30%,59%
Eswatini,42%,28%,30%
Ethiopia,35%,23%,41%
Finland,8%,29%,63%
France,20%,19%,61%
Gabon,23%,39%,36%
Georgia,9%,17%,74%
Germany,6%,20%,73%
Ghana,36%,31%,33%
Greece,10%,27%,62%
Guatemala,29%,28%,44%
Guinea,24%,31%,41%
Honduras,22%,26%,51%
Hong Kong (S.A.R. of China),12%,33%,55%
Hungary,17%,18%,66%
Iceland,7%,21%,72%
India,31%,28%,40%
Indonesia,9%,20%,70%
Iran,34%,20%,46%
Iraq,31%,22%,47%
Ireland,13%,29%,58%
Israel,12%,23%,65%
Italy,17%,28%,55%
Jamaica,27%,20%,51%
Japan,19%,40%,40%
Jordan,23%,26%,51%
Kazakhstan,10%,16%,73%
Kenya,46%,25%,29%
Kosovo,25%,24%,50%
Kuwait,37%,22%,40%
Kyrgyzstan,6%,20%,73%
Lao People's Democratic Republic,18%,44%,37%
Latvia,6%,15%,78%
Lebanon,19%,30%,51%
Lesotho,62%,13%,25%
Liberia,39%,29%,31%
Libya,29%,21%,51%
Lithuania,11%,27%,55%
Luxembourg,9%,30%,60%
Madagascar,47%,19%,32%
Malawi,43%,29%,28%
Malaysia,16%,29%,54%
Mali,20%,22%,58%
Malta,9%,30%,60%
Mauritania,45%,28%,26%
Mauritius,15%,21%,61%
Mexico,19%,24%,56%
Republic of Moldova,16%,37%,45%
Mongolia,7%,36%,56%
Montenegro,29%,20%,50%
Morocco,21%,36%,43%
Mozambique,26%,37%,35%
Myanmar,26%,34%,39%
Namibia,48%,26%,25%
Nepal,40%,31%,29%
Netherlands,8%,18%,74%
New Zealand,12%,24%,64%
Nicaragua,17%,29%,50%
Niger,40%,16%,43%
Nigeria,26%,23%,50%
North Macedonia,17%,33%,49%
Northern Cyprus,17%,32%,50%
Norway,8%,23%,68%
Pakistan,44%,28%,28%
Palestinian Territories,20%,21%,59%
Panama,18%,27%,54%
Paraguay,24%,30%,45%
Peru,25%,35%,41%
Philippines,59%,17%,22%
Poland,10%,15%,73%
Portugal,14%,32%,54%
Puerto Rico,17%,18%,65%
Romania,16%,25%,58%
Russian Federation,8%,26%,64%
Saudi Arabia,24%,19%,57%
Senegal,41%,25%,34%
Serbia,20%,20%,59%
Sierra Leone,41%,18%,36%
Singapore,13%,34%,53%
Slovakia,8%,22%,70%
Slovenia,7%,23%,69%
South Africa,38%,25%,37%
South Korea,15%,42%,43%
Spain,11%,24%,65%
Sri Lanka,28%,27%,45%
Sweden,8%,22%,70%
Switzerland,16%,19%,65%
"Taiwan, Province of China",16%,29%,55%
Tajikistan,25%,13%,62%
Tanzania,37%,20%,43%
Thailand,10%,29%,62%
The Gambia,43%,26%,30%
Togo,32%,35%,33%
Tunisia,25%,31%,44%
Türkiye,15%,43%,41%
Uganda,53%,27%,20%
Ukraine,7%,33%,59%
United Arab Emirates,30%,23%,47%
United Kingdom of Great Britain and Northern Ireland,13%,25%,62%
United States of America,12%,24%,65%
Uruguay,23%,27%,50%
Uzbekistan,5%,15%,78%
Venezuela,22%,30%,48%
Vietnam,4%,9%,86%
Yemen,20%,30%,50%
Zambia,33%,31%,36%
Zimbabwe,43%,37%,20%
